commune,code_commune,code_postal,type_local,surface_m2,valeur_fonciere,prix_m2,date_mutation
Champagne-au-Mont-d'Or,69040,69410,Appartement,69.0,350000.0,5072.46,2024-01-05
Villefranche-sur-Saône,69264,69400,Appartement,35.0,74800.0,2137.14,2024-01-04
Valsonne,69254,69170,Maison,79.0,130000.0,1645.57,2024-01-04
Valsonne,69254,69170,Maison,79.0,130000.0,1645.57,2024-01-04
Villefranche-sur-Saône,69264,69400,Appartement,78.0,165000.0,2115.38,2024-01-04
Lyon 9e Arrondissement,69389,69009,Appartement,77.0,284990.0,3701.17,2024-01-03
Saint-Genis-les-Ollières,69205,69290,Maison,113.0,673250.0,5957.96,2024-01-05
Saint-Genis-Laval,69204,69230,Appartement,68.0,310140.0,4560.88,2024-01-08
Pierre-Bénite,69152,69310,Appartement,59.0,127000.0,2152.54,2024-01-05
Lyon 4e Arrondissement,69384,69004,Appartement,62.0,211100.0,3404.84,2024-01-03
Dommartin,69076,69380,Maison,114.0,609590.0,5347.28,2024-01-04
Genay,69278,69730,Maison,100.0,590600.0,5906.0,2024-01-04
Oullins,69149,69600,Appartement,83.0,215000.0,2590.36,2024-01-08
Caluire-et-Cuire,69034,69300,Appartement,33.0,151000.0,4575.76,2024-01-11
Longes,69119,69420,Appartement,68.0,55000.0,808.82,2024-01-05
Loire-sur-Rhône,69118,69700,Maison,126.0,374300.0,2970.63,2024-01-05
Saint-Genis-Laval,69204,69230,Maison,76.0,453000.0,5960.53,2024-01-10
Tassin-la-Demi-Lune,69244,69160,Maison,163.0,1732500.0,10628.83,2024-01-12
Tassin-la-Demi-Lune,69244,69160,Maison,163.0,1732500.0,10628.83,2024-01-12
Oullins,69149,69600,Appartement,49.0,168000.0,3428.57,2024-01-12
Rillieux-la-Pape,69286,69140,Appartement,78.0,215000.0,2756.41,2024-01-08
Lyon 9e Arrondissement,69389,69009,Appartement,49.0,242200.0,4942.86,2024-01-12
Tassin-la-Demi-Lune,69244,69160,Appartement,73.0,223000.0,3054.79,2024-01-04
Caluire-et-Cuire,69034,69300,Appartement,67.0,296200.0,4420.9,2024-01-08
Limonest,69116,69760,Appartement,19.0,106500.0,5605.26,2024-01-09
Tassin-la-Demi-Lune,69244,69160,Appartement,73.0,239450.0,3280.14,2024-01-08
La Tour-de-Salvagny,69250,69890,Maison,209.0,707800.0,3386.6,2024-01-05
La Tour-de-Salvagny,69250,69890,Maison,209.0,707800.0,3386.6,2024-01-05
Saint-Cyr-au-Mont-d'Or,69191,69450,Maison,78.0,403000.0,5166.67,2024-01-10
Saint-Cyr-au-Mont-d'Or,69191,69450,Maison,78.0,403000.0,5166.67,2024-01-10
Craponne,69069,69290,Maison,100.0,490250.0,4902.5,2024-01-12
Bessenay,69021,69690,Maison,82.0,193650.0,2361.59,2024-01-04
Gleizé,69092,69400,Appartement,40.0,161040.0,4026.0,2024-01-04
Craponne,69069,69290,Appartement,41.0,273141.0,6661.98,2024-01-11
Écully,69081,69130,Appartement,67.0,200000.0,2985.07,2024-01-04
Chasselay,69049,69380,Maison,68.0,276000.0,4058.82,2024-01-15
Écully,69081,69130,Appartement,85.0,440500.0,5182.35,2024-01-10
Fontaines-sur-Saône,69088,69270,Appartement,71.0,185000.0,2605.63,2024-01-09
Caluire-et-Cuire,69034,69300,Appartement,33.0,122200.0,3703.03,2024-01-10
Caluire-et-Cuire,69034,69300,Appartement,70.0,238235.0,3403.36,2024-01-12
Fontaines-sur-Saône,69088,69270,Maison,86.0,485000.0,5639.53,2024-01-04
Caluire-et-Cuire,69034,69300,Appartement,70.0,286800.0,4097.14,2024-01-10
Oullins,69149,69600,Appartement,40.0,70000.0,1750.0,2024-01-08
Lyon 4e Arrondissement,69384,69004,Appartement,59.0,255000.0,4322.03,2024-01-11
Lyon 1er Arrondissement,69381,69001,Appartement,82.0,360000.0,4390.24,2024-01-09
Saint-Forgeux,69200,69490,Maison,110.0,404580.0,3678.0,2024-01-03
Saint-Forgeux,69200,69490,Maison,110.0,404580.0,3678.0,2024-01-03
Saint-Forgeux,69200,69490,Maison,110.0,404580.0,3678.0,2024-01-03
Tassin-la-Demi-Lune,69244,69160,Appartement,57.0,231000.0,4052.63,2024-01-08
Oullins,69149,69600,Appartement,37.0,47000.0,1270.27,2024-01-08
Anse,69009,69480,Appartement,48.0,170000.0,3541.67,2024-01-10
Val d'Oingt,69024,69620,Maison,88.0,347730.0,3951.48,2024-01-03
Lyon 9e Arrondissement,69389,69009,Appartement,95.0,437000.0,4600.0,2024-01-12
Lyon 2e Arrondissement,69382,69002,Appartement,63.0,300000.0,4761.9,2024-01-10
