commune,code_commune,code_postal,type_local,surface_m2,pieces,valeur_fonciere,prix_m2,date_mutation
Bouguenais,44020,44340,Appartement,24.0,1.0,112801.0,4700.04,2023-03-29
Bouguenais,44020,44340,Appartement,26.0,1.0,90500.0,3480.77,2023-10-13
Bouguenais,44020,44340,Appartement,33.0,2.0,110000.0,3333.33,2023-05-31
Bouguenais,44020,44340,Appartement,35.0,2.0,130000.0,3714.29,2023-05-31
Bouguenais,44020,44340,Appartement,35.0,1.0,20000.0,571.43,2023-09-19
Bouguenais,44020,44340,Appartement,40.0,2.0,130000.0,3250.0,2023-11-09
Bouguenais,44020,44340,Appartement,41.0,2.0,145000.0,3536.59,2023-06-30
Bouguenais,44020,44340,Appartement,41.0,2.0,127500.0,3109.76,2023-10-09
Bouguenais,44020,44340,Appartement,42.0,2.0,160000.0,3809.52,2023-01-24
Bouguenais,44020,44340,Appartement,42.0,2.0,137925.0,3283.93,2023-04-03
Bouguenais,44020,44340,Appartement,43.0,2.0,167000.0,3883.72,2023-01-27
Bouguenais,44020,44340,Appartement,43.0,2.0,153000.0,3558.14,2023-02-16
Bouguenais,44020,44340,Appartement,43.0,2.0,159000.0,3697.67,2023-05-05
Bouguenais,44020,44340,Appartement,44.0,2.0,160000.0,3636.36,2023-01-17
Bouguenais,44020,44340,Appartement,44.0,2.0,123000.0,2795.45,2023-04-03
Bouguenais,44020,44340,Appartement,44.0,2.0,160000.0,3636.36,2023-12-06
Bouguenais,44020,44340,Appartement,45.0,2.0,167000.0,3711.11,2023-03-23
Bouguenais,44020,44340,Appartement,45.0,2.0,116000.0,2577.78,2023-05-16
Bouguenais,44020,44340,Appartement,46.0,2.0,170000.0,3695.65,2023-06-05
Bouguenais,44020,44340,Appartement,47.0,2.0,163000.0,3468.09,2023-02-10
Bouguenais,44020,44340,Appartement,47.0,2.0,185200.0,3940.43,2023-06-21
Bouguenais,44020,44340,Appartement,47.0,2.0,150000.0,3191.49,2023-08-30
Bouguenais,44020,44340,Appartement,47.0,2.0,160000.0,3404.26,2023-10-11
Bouguenais,44020,44340,Appartement,48.0,2.0,127000.0,2645.83,2023-11-22
Bouguenais,44020,44340,Appartement,49.0,2.0,159500.0,3255.1,2023-04-19
Bouguenais,44020,44340,Appartement,49.0,3.0,187000.0,3816.33,2023-07-26
Bouguenais,44020,44340,Appartement,50.0,2.0,132000.0,2640.0,2023-04-14
Bouguenais,44020,44340,Appartement,53.0,3.0,200000.0,3773.58,2023-12-18
Bouguenais,44020,44340,Appartement,54.0,3.0,205000.0,3796.3,2023-02-27
Bouguenais,44020,44340,Appartement,54.0,2.0,176000.0,3259.26,2023-02-28
Bouguenais,44020,44340,Appartement,55.0,2.0,135770.0,2468.55,2023-03-17
Bouguenais,44020,44340,Appartement,57.0,3.0,199500.0,3500.0,2023-03-24
Bouguenais,44020,44340,Appartement,57.0,3.0,200000.0,3508.77,2023-05-22
Bouguenais,44020,44340,Appartement,58.0,3.0,205000.0,3534.48,2023-01-06
Bouguenais,44020,44340,Appartement,59.0,4.0,238000.0,4033.9,2023-09-04
Bouguenais,44020,44340,Appartement,60.0,3.0,212000.0,3533.33,2023-09-05
Bouguenais,44020,44340,Appartement,60.0,3.0,215000.0,3583.33,2023-10-17
Bouguenais,44020,44340,Appartement,62.0,3.0,230000.0,3709.68,2023-03-21
Bouguenais,44020,44340,Appartement,62.0,3.0,200000.0,3225.81,2023-05-15
Bouguenais,44020,44340,Appartement,62.0,3.0,198000.0,3193.55,2023-06-20
Bouguenais,44020,44340,Appartement,62.0,3.0,186000.0,3000.0,2023-07-27
Bouguenais,44020,44340,Appartement,62.0,3.0,177000.0,2854.84,2023-10-20
Bouguenais,44020,44340,Appartement,63.0,3.0,210000.0,3333.33,2023-03-31
Bouguenais,44020,44340,Appartement,63.0,3.0,240000.0,3809.52,2023-06-30
Bouguenais,44020,44340,Appartement,64.0,3.0,250000.0,3906.25,2023-03-28
Bouguenais,44020,44340,Appartement,64.0,3.0,160000.0,2500.0,2023-12-19
Bouguenais,44020,44340,Appartement,65.0,1.0,240000.0,3692.31,2023-01-24
Bouguenais,44020,44340,Appartement,65.0,3.0,234500.0,3607.69,2023-12-22
Bouguenais,44020,44340,Appartement,66.0,3.0,221000.0,3348.48,2023-02-03
Bouguenais,44020,44340,Appartement,68.0,3.0,210000.0,3088.24,2023-11-17
Bouguenais,44020,44340,Appartement,69.0,3.0,240000.0,3478.26,2023-07-18
Bouguenais,44020,44340,Appartement,76.0,4.0,270000.0,3552.63,2023-02-23
Bouguenais,44020,44340,Appartement,80.0,4.0,212500.0,2656.25,2023-09-29
Bouguenais,44020,44340,Appartement,81.0,3.0,379701.3,4687.67,2023-03-01
Bouguenais,44020,44340,Appartement,83.0,4.0,211000.0,2542.17,2023-07-31
Bouguenais,44020,44340,Maison,44.0,3.0,191000.0,4340.91,2023-04-21
Bouguenais,44020,44340,Maison,51.0,2.0,235000.0,4607.84,2023-12-20
Bouguenais,44020,44340,Maison,52.0,1.0,145000.0,2788.46,2023-02-25
Bouguenais,44020,44340,Maison,53.0,3.0,146942.5,2772.5,2023-06-23
Bouguenais,44020,44340,Maison,54.0,1.0,110000.0,2037.04,2023-03-24
Bouguenais,44020,44340,Maison,55.0,3.0,195000.0,3545.45,2023-06-27
Bouguenais,44020,44340,Maison,55.0,4.0,250000.0,4545.45,2023-08-28
Bouguenais,44020,44340,Maison,55.0,4.0,250000.0,4545.45,2023-08-28
Bouguenais,44020,44340,Maison,55.0,2.0,294100.0,5347.27,2023-11-24
Bouguenais,44020,44340,Maison,59.0,2.0,165000.0,2796.61,2023-09-27
Bouguenais,44020,44340,Maison,60.0,3.0,230000.0,3833.33,2023-02-23
Bouguenais,44020,44340,Maison,60.0,3.0,190000.0,3166.67,2023-07-24
Bouguenais,44020,44340,Maison,60.0,4.0,270000.0,4500.0,2023-08-29
Bouguenais,44020,44340,Maison,62.0,3.0,239000.0,3854.84,2023-05-09
Bouguenais,44020,44340,Maison,63.0,3.0,88550.0,1405.56,2023-04-21
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,63.0,4.0,210000.0,3333.33,2023-07-17
Bouguenais,44020,44340,Maison,64.0,4.0,210000.0,3281.25,2023-06-30
Bouguenais,44020,44340,Maison,65.0,1.0,260000.0,4000.0,2023-02-27
Bouguenais,44020,44340,Maison,65.0,3.0,282000.0,4338.46,2023-07-17
Bouguenais,44020,44340,Maison,65.0,3.0,207773.0,3196.51,2023-07-28
Bouguenais,44020,44340,Maison,65.0,3.0,180000.0,2769.23,2023-08-23
Bouguenais,44020,44340,Maison,66.0,4.0,270000.0,4090.91,2023-07-28
Bouguenais,44020,44340,Maison,66.0,3.0,265000.0,4015.15,2023-08-31
